p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	11	3.848485e+00	3.642532e+00	2.352535e-01	1.564253e-01	9.154249e-01	7.000000e+00	8.333333e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.772727e+00	1.324557e+00	1.190006e+00	5.155556e-01	7.164069e-01	4.000000e+00	5.972222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.181818e+00	2.317975e+00	-2.298652e-01	1.031225e-01	6.361426e-01	7.000000e+00	8.333333e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	1.166667e+00	2.317975e+00	-1.943684e+00	1.499410e-01	-1.502003e+00	6.000000e+00	6.250000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	9.090909e-01	9.934178e-01	-2.784511e-01	4.000000e-02	-7.734358e-01	4.000000e+00	6.666667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.742424e+00	1.324557e+00	1.109543e+00	3.381173e-01	6.633397e-01	5.000000e+00	7.222222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	2.530303e+00	1.655696e+00	1.947253e+00	7.866667e-01	1.133390e-01	3.000000e+00	5.694444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	2.575758e+00	2.649114e+00	-1.105788e-01	3.256198e-01	-1.594519e-01	5.000000e+00	7.222222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	1.242424e+00	9.934178e-01	8.222297e-01	3.108225e-01	-6.445298e-02	4.000000e+00	6.250000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	8.636364e-01	9.934178e-01	-4.285439e-01	6.682409e-02	4.833974e-01	4.000000e+00	6.250000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.378788e+00	1.986836e+00	-1.167148e+00	8.679522e-02	7.341177e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.939394e+00	1.655696e+00	6.316336e-01	2.198689e-01	4.533561e-01	5.000000e+00	7.222222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	5.000000e-01	9.934178e-01	-1.629287e+00	3.388430e-01	4.833974e-01	3.000000e+00	2.916667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	6.666667e-01	1.324557e+00	-1.746866e+00	1.735537e-01	5.306718e-01	4.000000e+00	4.166667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	1.742424e+00	2.649114e+00	-1.366756e+00	3.261157e-01	-1.897478e+00	5.000000e+00	6.111111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	1.060606e+00	9.934178e-01	2.218584e-01	2.474747e-01	7.089828e-01	4.000000e+00	5.833333e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	1.924242e+00	2.649114e+00	-1.092681e+00	9.759150e-02	7.813144e-01	8.000000e+00	8.472222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	2.818182e+00	2.980253e+00	-2.207387e-01	1.755706e-01	8.722237e-02	7.000000e+00	8.055556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	1.303030e+00	2.317975e+00	-1.713470e+00	2.358914e-01	-1.448992e+00	5.000000e+00	5.277778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	2	3.333333e-01	6.622786e-01	-1.451383e+00	8.264463e-03	4.175193e-01	3.000000e+00	2.916667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	1.954545e+00	2.317975e+00	-6.135560e-01	8.622327e-02	5.301189e-02	8.000000e+00	8.472222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.272727e+00	2.317975e+00	-7.638889e-02	1.369830e-01	-1.060238e-01	8.000000e+00	8.194444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	2	6.515152e-01	6.622786e-01	-4.749065e-02	4.545455e-02	-4.592713e-01	3.000000e+00	5.416667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	8.181818e-01	9.934178e-01	-5.786367e-01	4.545455e-01	-1.353513e+00	3.000000e+00	4.861111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	2	6.060606e-01	6.622786e-01	-2.480467e-01	1.000000e+00	6.680310e-01	2.000000e+00	2.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	9.393939e-01	1.324557e+00	-1.022706e+00	2.016529e-02	6.898733e-01	5.000000e+00	6.805556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	12	3.348485e+00	3.973671e+00	-6.609379e-01	2.062371e-01	5.413297e-01	7.000000e+00	8.055556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	2.151515e+00	2.980253e+00	-1.128727e+00	7.654729e-02	6.687049e-01	9.000000e+00	8.611111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.727273e+00	1.655696e+00	1.593599e-01	2.244628e-01	4.080205e-01	5.000000e+00	6.666667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	2.787879e+00	1.986836e+00	1.537602e+00	3.393651e-01	-6.349126e-01	5.000000e+00	7.638889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	2.166667e+00	1.986836e+00	3.451856e-01	2.038987e-01	8.134817e-01	6.000000e+00	7.916667e-01	
